DATE,CLOSE_USD,CLOSE_EUR,CLOSE_ZOL,CLOSE_NEFT,CLOSE_SER
2016-05-23,,,,,
2016-05-24,67.0475,75.2675,2695.39,34.39,35.16
2016-05-25,67.0493,75.0349,2678.76,34.13,35.07
2016-05-26,65.8949,73.4596,2586.24,33.88,34.33
2016-05-27,65.2062,72.8418,2571.58,33.21,34.51
2016-05-28,66.0413,73.8474,2593.05,30.81,34.61
2016-05-29,,,,,
2016-05-30,,,,,
2016-05-31,66.0825,73.497,2584.04,30.97,34.63
2016-06-01,65.9962,73.4406,2568.47,31.13,34.08
2016-06-02,66.6156,74.2098,2604.89,32.65,34.16
2016-06-03,66.7491,74.8191,2608.5,32.85,34.29
2016-06-04,66.8529,74.561,2602.89,34.03,34.6
2016-06-05,,,,,
2016-06-06,,,,,
2016-06-07,65.7894,74.6907,2623.98,32.3,34.69
2016-06-08,65.2089,74.1164,2601.98,34.87,34.19
2016-06-09,64.6797,73.5538,2604.36,33.99,34.83
2016-06-10,63.7402,72.5682,2578.73,33.12,34.94
2016-06-11,64.7077,73.1909,2635.03,32.97,36.03
2016-06-12,,,,,
2016-06-13,,,,,
2016-06-14,64.7077,73.1909,,,
2016-06-15,66.0306,74.3174,2716.08,34.67,36.62
2016-06-16,65.9156,73.9441,2716.86,32.9,36.9
2016-06-17,65.8618,74.24600000000001,2767.58,34.41,37.5
2016-06-18,65.4398,73.5609,2702.51,35.06,36.55
2016-06-19,,,,,
2016-06-20,,,,,
2016-06-21,64.1509,72.7792,2646.7,35.13,35.75
2016-06-22,64.1743,72.7865,2642.61,35.23,35.82
2016-06-23,63.7162,71.8082,2591.38,36.64,35.23
2016-06-24,64.3212,72.9016,2617.54,36.6,35.76
2016-06-25,65.5287,72.6582,2768.01,37.06,38.01
2016-06-26,,,,,
2016-06-27,,,,,
2016-06-28,65.0588,71.942,2770.65,37.06,37.02
2016-06-29,64.8095,71.7117,2733.78,38.93,36.61
2016-06-30,64.2575,71.2102,2722.37,39.01,37.62
2016-07-01,64.1755,71.2926,2717.35,40.83,37.88
2016-07-02,64.0165,71.0519,2740.98,39.54,39.6
2016-07-03,,,,,
2016-07-04,,,,,
2016-07-05,63.6844,70.8553,2761.56,40.84,41.69
2016-07-06,64.2676,71.6327,2778.59,40.16,40.77
2016-07-07,64.6304,71.5135,2846.74,40.38,42.45
2016-07-08,64.05,70.9482,2815.21,40.34,41.08
2016-07-09,64.2488,71.1684,2801.22,39.73,40.73
2016-07-10,,,,,
2016-07-11,,,,,
2016-07-12,64.2024,70.8152,2803.64,38.95,42.25
2016-07-13,63.9029,70.9833,2779.46,40.21,41.81
2016-07-14,63.8531,70.5577,2751.43,41.43,41.65
2016-07-15,63.5773,70.5644,2709.81,41.46,41.39
2016-07-16,63.1697,70.3395,2702.18,41.06,40.9
2016-07-17,,,,,
2016-07-18,,,,,
2016-07-19,63.1154,69.7741,2691.03,41.41,40.02
2016-07-20,62.9891,69.6974,2697.9,41.58,40.48
2016-07-21,63.4183,69.6967,2702.82,40.73,40.17
2016-07-22,63.7373,70.3022,2709.04,40.45,39.63
2016-07-23,64.627,71.2513,2749.35,41.2,40.93
2016-07-24,,,,,
2016-07-25,,,,,
2016-07-26,64.9184,71.209,2744.63,40.76,40.51
2016-07-27,65.7408,72.3478,2792.61,40.03,41.6
2016-07-28,65.9467,72.515,2800.41,39.94,41.51
2016-07-29,66.1125,73.4047,2851.02,40.14,43.38
2016-07-30,67.0512,74.3799,2872.53,38.75,43.2
2016-07-31,,,,,
2016-08-01,,,,,
2016-08-02,65.9553,73.6523,2860.25,38.28,43.49
2016-08-03,66.8816,74.9007,2920.42,37.58,44.53
2016-08-04,66.742,74.7978,2927.73,38.33,44.18
2016-08-05,66.3941,73.9232,2884.19,39.75,43.03
2016-08-06,65.5627,73.0303,2872.21,39.66,42.62
2016-08-07,,,,,
2016-08-08,,,,,
2016-08-09,65.0799,72.1476,2782.85,41.89,41.14
2016-08-10,64.7848,71.7556,2776.27,42.44,41.03
2016-08-11,64.8137,72.2349,2816.99,42.81,42.37
2016-08-12,64.9497,72.4644,2807.66,44.28,42.2
2016-08-13,64.3364,71.7158,2764.91,43.9,41.1
2016-08-14,,,,,
2016-08-15,,,,,
2016-08-16,64.2076,71.7263,2764.54,43.78,41.08
2016-08-17,63.9514,71.9645,2773.86,42.85,41.19
2016-08-18,63.9943,72.0832,2762.66,40.58,40.26
